revisions_ID,Mockup_ID,Version_number,Completed_at,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Base_version,Read_at
31833,114060,2,2023-08-11 20:37:23.813000+00:00,2023-08-11 20:32:52.737000+00:00,2023-08-11 20:37:23.814000+00:00,,,,2,
31836,,,2023-08-11 21:27:01.111000+00:00,2023-08-11 20:58:16.145000+00:00,2023-08-11 21:28:18.955000+00:00,91541,,,,2023-08-11 21:28:18.955000+00:00
31837,50435,9,2023-08-11 22:24:38.043000+00:00,2023-08-11 22:00:28.260000+00:00,2023-08-11 22:24:38.043000+00:00,,,,9,
31835,,,2023-08-11 22:21:52.558000+00:00,2023-08-11 20:48:25.233000+00:00,2023-08-11 22:49:41.101000+00:00,91555,,,,2023-08-11 22:49:41.101000+00:00
31827,,,,2023-08-11 19:08:12.470000+00:00,2023-08-14 14:54:00.809000+00:00,,,3090,,
31824,177184,1,2023-08-14 16:25:24.374000+00:00,2023-08-11 18:35:06.391000+00:00,2023-08-14 16:25:24.375000+00:00,,,,1,
31822,177184,1,2023-08-14 16:25:26.386000+00:00,2023-08-11 18:15:24.030000+00:00,2023-08-14 16:25:26.386000+00:00,,,,1,
31828,114432,1,2023-08-14 17:05:15.381000+00:00,2023-08-11 19:26:12.781000+00:00,2023-08-14 17:05:15.381000+00:00,,,,1,
31831,179415,1,2023-08-14 15:16:28.346000+00:00,2023-08-11 19:56:22.508000+00:00,2023-08-14 19:04:33.817000+00:00,,,,1,2023-08-14 19:04:33.816000+00:00
31832,180137,1,,2023-08-11 20:28:04.342000+00:00,2023-08-14 20:27:12.675000+00:00,,,,1,
31834,180251,1,2023-08-11 20:45:23.095000+00:00,2023-08-11 20:37:53.223000+00:00,2024-01-08 15:58:26.453000+00:00,,,,1,2024-01-08 15:58:26.453000+00:00
31838,180345,1,,2023-08-11 22:02:57.832000+00:00,2023-08-11 22:02:57.838000+00:00,,,,1,
31826,,,,2023-08-11 19:00:33.308000+00:00,2023-08-11 19:00:33.369000+00:00,91453,,,,
31817,178930,2,,2023-08-11 17:46:47.143000+00:00,2023-08-14 20:03:04.149000+00:00,,,,2,
31797,,,,2023-08-11 14:33:22.734000+00:00,2023-08-14 15:32:47.480000+00:00,91184,,,,
31801,160752,1,2023-08-11 20:25:43.929000+00:00,2023-08-11 15:13:17.617000+00:00,2023-08-11 20:25:43.930000+00:00,,,,1,
31794,177108,5,2023-08-11 19:12:00.331000+00:00,2023-08-11 14:26:51.277000+00:00,2023-08-11 19:12:00.331000+00:00,,,,5,
